artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,key_NA,mode_Major,mode_Minor,new_releases_2010,all_playlists,log_in_spotify_playlists,log_in_apple_playlists,log_in_deezer_playlists,log_all_playlists,log_speechiness_%,log_danceability_%
1,2023,5,25,2988,101,127408954.0,0,0,143,38,0,110,67,78,85,2,0,33,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3131,8.002694162283937,0.0,4.969813299576001,8.049427057110695,1.791759469228055,4.219507705176107
1,2023,7,13,864,78,22581161.0,71,135,50,1,294,126,74,35,84,0,0,11,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,985,6.762729506931879,4.276666119016055,3.9318256327243257,6.893656354602635,1.9459101490553132,4.31748811353631
2,2023,6,28,266,34,52294266.0,20,185,13,8,197,168,56,63,87,39,0,11,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,299,5.58724865840025,3.044522437723423,2.6390573296152584,5.703782474656201,1.791759469228055,4.04305126783455
3,2022,12,2,6036,88,843957510.0,113,149,245,23,27,98,71,17,61,36,0,8,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6394,8.705662478796427,4.736198448394496,5.5053315359323625,8.763271714012943,1.791759469228055,4.276666119016055
1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,64,51,63,12,0,19,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,9489,9.114159813502214,5.493061443340548,5.111987788356544,9.157993891603974,1.791759469228055,4.174387269895637
2,2023,2,23,4284,49,618990393.0,115,123,184,18,354,180,72,61,63,67,0,9,28,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4583,8.36287583103188,4.7535901911063645,5.220355825078324,8.430327258394575,3.367295829986474,4.290459441148391
8,2023,6,1,1150,31,123122413.0,22,33,34,7,184,120,81,63,68,11,0,11,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1206,7.048386408721883,3.1354942159291497,3.5553480614894135,7.095893221097532,1.6094379124341003,4.406719247264253
2,2023,4,7,672,34,188933502.0,19,108,24,9,212,150,61,39,73,37,0,11,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,715,6.511745329644728,2.995732273553991,3.2188758248682006,6.573680166960646,1.3862943611198906,4.127134385045092
1,2014,1,1,11434,53,1355959075.0,154,123,410,2,81,96,75,57,68,9,0,13,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,11998,9.344434106456882,5.043425116919247,6.018593214496234,9.392578591964389,1.9459101490553132,4.330733340286331
1,2014,1,1,7830,42,786181836.0,94,111,151,4,82,95,60,48,79,0,0,12,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,8075,8.965845494750937,4.553876891600541,5.0238805208462765,8.996651979432729,1.6094379124341003,4.110873864173311
1,2023,5,19,584,28,176553476.0,16,159,15,6,100,125,79,96,85,27,0,11,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,615,6.371611847231857,2.833213344056216,2.772588722239781,6.423246963533519,1.9459101490553132,4.382026634673881
